percent,trueF0,meanNt,stdevNt,meanMinusSigma,meanPlusSigma
0.1,19397,19345.7,294.215,19051.5,19640
0.2,38605,38578.1,507.764,38070.3,39085.9
0.3,57689,57473.4,606.129,56867.3,58079.5
0.4,76681,76605.2,893.147,75712.1,77498.4
0.5,95610,95609,1158.95,94450.1,96768
0.6,114467,114462,1667.39,112794,116129
0.7,133329,133375,1614.7,131760,134989
0.8,152183,152021,1819.85,150201,153841
0.9,170971,171033,2063.08,168970,173096
1,189756,189815,2330.49,187485,192146
